,product,stars,comment,productlink
0,iPhone 14 Pro 128GB золотой,5,Посоветую друзьям,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
1,iPhone 14 Pro 128GB золотой,5,Новейшая модель Изменения по многим параметрам,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
2,iPhone 14 Pro 128GB золотой,5,Удобный интерфейс,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
3,iPhone 14 Pro 128GB золотой,5,Посоветую всем своим друзьям,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
4,iPhone 14 Pro 128GB золотой,2,никому не советую продал и очень рад,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
5,iPhone 14 Pro 128GB золотой,5,Солидный аппарат удобный,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
7,iPhone 14 Pro 128GB золотой,5,телефон мне понравился буду советовать друзьям,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
8,iPhone 14 Pro 128GB золотой,5,Выбрала эту модель потому что хочется и хорошего качества и красоты,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
9,iPhone 14 Pro 128GB золотой,5,Последняя актуальная,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
10,iPhone 14 Pro 128GB золотой,5,Захотел,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
